enhancer	genes
humGainReg2513	ENSG00000072803,ENSG00000072786,ENSG00000113719,ENSG00000204758,ENSG00000254295,ENSG00000037241
humGainReg2520	ENSG00000131187,ENSG00000198055,ENSG00000131187,ENSG00000198055,ENSG00000246334,ENSG00000131188,ENSG00000113758,ENSG00000196923,ENSG00000248996,ENSG00000196923,ENSG00000146094,ENSG00000183258,ENSG00000146067,ENSG00000170074,ENSG00000170089,ENSG00000271681,ENSG00000253698
humGainReg2522	ENSG00000184840,ENSG00000170074,ENSG00000271681,ENSG00000253698
humGainReg2523	ENSG00000170074,ENSG00000170074,ENSG00000271681,ENSG00000253698
humGainReg2525	ENSG00000213316,ENSG00000221394,ENSG00000161013
humGainReg2526	ENSG00000177932,ENSG00000113269,ENSG00000131459
humGainReg2537	ENSG00000250903,ENSG00000112699
humGainReg2548	ENSG00000270477,ENSG00000168994,ENSG00000145965
humGainReg255	ENSG00000273478,ENSG00000176393,ENSG00000249007,ENSG00000163435
humGainReg2556	ENSG00000226281
humGainReg2567	ENSG00000112137
humGainReg2570	ENSG00000261071,ENSG00000225921
humGainReg258	ENSG00000188770,ENSG00000058668,ENSG00000219133,ENSG00000143850,ENSG00000226330,ENSG00000143850
humGainReg2580	ENSG00000227154
humGainReg2582	ENSG00000137168
humGainReg2585	ENSG00000226976,ENSG00000216412,ENSG00000137193
humGainReg2591	ENSG00000226917,ENSG00000234753,ENSG00000137166
humGainReg2594	ENSG00000124496,ENSG00000237107,ENSG00000238611,ENSG00000024048
humGainReg2595	ENSG00000261068,ENSG00000048545,ENSG00000048544
humGainReg2596	ENSG00000112624
humGainReg2597	ENSG00000171611,ENSG00000112659,ENSG00000112667,ENSG00000245261,ENSG00000112659,ENSG00000219222,ENSG00000146215,ENSG00000171467,ENSG00000179157,ENSG00000226558,ENSG00000171467,ENSG00000124571,ENSG00000170734,ENSG00000237686,ENSG00000181577,ENSG00000265518,ENSG00000237686,ENSG00000231881,ENSG00000183239
humGainReg2598	ENSG00000272114,ENSG00000112715,ENSG00000223469,ENSG00000237686,ENSG00000181577,ENSG00000265518,ENSG00000237686,ENSG00000231881,ENSG00000183239,ENSG00000180992,ENSG00000137216,ENSG00000262179,ENSG00000112759,ENSG00000096384
humGainReg2602	ENSG00000272114,ENSG00000112715,ENSG00000223469,ENSG00000237686,ENSG00000181577,ENSG00000265518,ENSG00000237686,ENSG00000231881,ENSG00000183239
humGainReg2606	ENSG00000272114,ENSG00000112715,ENSG00000223469,ENSG00000237686,ENSG00000181577,ENSG00000265518,ENSG00000237686,ENSG00000231881,ENSG00000183239
humGainReg2609	ENSG00000272114,ENSG00000112715,ENSG00000223469,ENSG00000237686,ENSG00000181577,ENSG00000265518,ENSG00000237686,ENSG00000231881,ENSG00000183239
humGainReg261	ENSG00000162873,ENSG00000236942,ENSG00000158711
