Gene	ModuleAssignment	Blocks	intramodule.Connectivity..unpowered.	HubGenes	external_gene_name
ENSG00000013293	29	3	67.73058478	 	SLC7A14
ENSG00000013297	6	1	1116.641904	 	CLDN11
ENSG00000013306	2	1	2599.373188	 	SLC25A39
ENSG00000013364	10	1	424.9495568	 	MVP
ENSG00000013374	2	1	2527.115575	 	NUB1
ENSG00000013375	2	1	2850.171365	 	PGM3
ENSG00000013392	3	1	2320.698087	 	RWDD2A
ENSG00000013441	22	1	136.8416224	 	CLK1
ENSG00000013503	3	1	1772.538409	 	POLR3B
ENSG00000013523	5	1	1269.097281	 	ANGEL1
ENSG00000013561	5	1	1219.648411	 	RNF14
ENSG00000013563	2	1	2809.011722	 	DNASE1L1
ENSG00000013573	3	1	2834.03017	hub10	DDX11
ENSG00000013583	2	1	2944.721507	 	HEBP1
ENSG00000013588	10	1	405.3763095	 	GPRC5A
ENSG00000013619	7	2	844.6696284	 	MAMLD1
ENSG00000013725	25	3	73.4592688	 	CD6
ENSG00000013810	2	1	3266.093456	 	TACC3
ENSG00000014123	2	1	3058.828136	 	UFL1
ENSG00000014138	3	1	2787.900025	hub10	POLA2
ENSG00000014164	7	2	1064.924377	 	ZC3H3
ENSG00000014216	3	1	1534.271385	 	CAPN1
ENSG00000014257	1	3	2571.801985	 	ACPP
ENSG00000014641	5	2	1206.119801	 	MDH1
ENSG00000014824	7	2	1161.548385	hub10;hub5	SLC30A9
ENSG00000014914	3	1	2778.969838	hub10	MTMR11
ENSG00000014919	4	2	1910.263915	 	COX15
ENSG00000015133	2	1	3180.898812	 	CCDC88C
ENSG00000015153	4	2	1894.681995	 	YAF2
ENSG00000015171	3	1	2144.011385	 	ZMYND11
ENSG00000015285	6	1	758.3806427	 	WAS
ENSG00000015413	3	1	1203.245919	 	DPEP1
ENSG00000015475	3	1	2228.228391	 	BID
ENSG00000015479	7	2	1136.241481	hub10;hub5	MATR3
ENSG00000015520	0	1	331.9567757	 	NPC1L1
ENSG00000015532	5	1	1177.238472	 	XYLT2
ENSG00000015568	61	1	41.92933968	 	RGPD5
ENSG00000015592	2	1	2625.013485	 	STMN4
ENSG00000015676	4	2	1512.003532	 	NUDCD3
ENSG00000016082	15	3	255.5713141	 	ISL1
ENSG00000016391	2	1	2093.341908	 	CHDH
ENSG00000016402	2	1	1740.320608	 	IL20RA
ENSG00000016490	1	3	5589.473244	 	CLCA1
ENSG00000016602	1	3	2969.795231	 	CLCA4
ENSG00000016864	2	1	2470.470758	 	GLT8D1
ENSG00000017260	3	1	2076.830371	 	ATP2C1
ENSG00000017373	4	2	2315.270214	hub10;hub5	NA
ENSG00000017427	6	1	1127.393162	 	IGF1
ENSG00000017483	2	1	2610.332765	 	SLC38A5
ENSG00000017621	4	2	1308.844052	 	NA
ENSG00000017797	3	1	2689.601792	 	RALBP1
ENSG00000018189	5	1	1148.183399	 	RUFY3
ENSG00000018236	2	1	3059.456576	 	CNTN1
ENSG00000018280	6	1	550.3874134	 	SLC11A1
ENSG00000018408	6	1	1097.932572	 	WWTR1
ENSG00000018510	19	2	210.678711	 	AGPS
ENSG00000018607	0	1	369.2530487	 	ZNF806
ENSG00000018610	5	2	886.2885306	 	CXorf56
ENSG00000018625	3	1	2385.028342	 	ATP1A2
ENSG00000018699	4	2	1441.382037	 	TTC27
ENSG00000018869	66	1	37.75250089	 	ZNF582
ENSG00000019102	3	1	1741.270309	 	VSIG2
ENSG00000019144	5	2	1237.724569	 	PHLDB1
ENSG00000019169	10	1	407.0712185	 	MARCO
ENSG00000019186	6	1	872.6968581	 	CYP24A1
ENSG00000019485	0	1	439.8776162	 	PRDM11
