HGE_252	CSRP1
HGE_252	LMOD1
HGE_2380	FOXD1
HGE_2380	FOXD1
HGE_1546	MEIS3
HGE_1546	ZNF541
HGE_425	WAPAL
HACNS_107	S1PR1
HGE_2346	ADCY2
HGE_605	MYEOV
HGE_1244	CMIP
