Enhancer	hic.CP	hic.GZ	hic.CP.promoter	hic.GZ.promoter
HARv2_343	NA	NA	NA	NA
HARv2_253	NA	NA	NA	NA
HACNS_424	NA	NA	NA	NA
HACNS_458	NA	ENSG00000226566	NA	ENSG00000226566
HARv2_102	NA	NA	NA	NA
HACNS_724	NA	NA	NA	NA
HACNS_581	NA	NA	NA	NA
HACNS_348	NA	NA	NA	NA
HACNS_919	ENSG00000196739	ENSG00000196739	ENSG00000196739	ENSG00000196739
HARv2_273	NA	NA	NA	NA
HACNS_397	ENSG00000230894,ENSG00000148219	ENSG00000148219,ENSG00000229105,ENSG00000230894	ENSG00000230894	ENSG00000230894
HARv2_362	NA	NA	NA	NA
HACNS_242	NA	NA	NA	NA
HACNS_720	NA	NA	NA	NA
HACNS_360	NA	NA	NA	NA
HARv2_278	NA	ENSG00000119397	NA	ENSG00000119397
HARv2_219	ENSG00000106780	ENSG00000106780	NA	NA
HARv2_283	NA	ENSG00000119522	NA	NA
HACNS_964	ENSG00000234129	ENSG00000234129	NA	NA
HACNS_920	NA	NA	NA	NA
HACNS_61	NA	NA	NA	NA
HACNS_809	ENSG00000086717,ENSG00000044446	ENSG00000044446,ENSG00000266710	ENSG00000086717,ENSG00000044446	ENSG00000044446,ENSG00000266710
HACNS_822	NA	NA	NA	NA
HACNS_634	NA	NA	NA	NA
HACNS_894	NA	NA	NA	NA
HACNS_557	NA	NA	NA	NA
HACNS_246	NA	NA	NA	NA
HACNS_442	NA	NA	NA	NA
HACNS_395	NA	NA	NA	NA
HACNS_901	NA	NA	NA	NA
HACNS_372	NA	NA	NA	NA
HACNS_352	NA	NA	NA	NA
HACNS_538	NA	NA	NA	NA
HACNS_477	NA	NA	NA	NA
HACNS_366	NA	ENSG00000235061	NA	NA
HACNS_399	NA	NA	NA	NA
HACNS_275	NA	NA	NA	NA
HACNS_619	NA	NA	NA	NA
HACNS_676	NA	NA	NA	NA
HARv2_438	NA	ENSG00000263886	NA	ENSG00000263886
HACNS_231	NA	ENSG00000263886	NA	ENSG00000263886
HACNS_959	NA	NA	NA	NA
HACNS_340	NA	NA	NA	NA
HACNS_779	NA	NA	NA	NA
HACNS_277	NA	ENSG00000263886	NA	ENSG00000263886
HACNS_415	NA	NA	NA	NA
HACNS_470	NA	NA	NA	NA
HACNS_156	NA	NA	NA	NA
HACNS_524	NA	NA	NA	NA
HACNS_288	NA	NA	NA	NA
HACNS_680	NA	NA	NA	NA
HACNS_466	NA	NA	NA	NA
HARv2_213	NA	NA	NA	NA
HARv2_4	NA	NA	NA	NA
HARv2_1	NA	NA	NA	NA
HACNS_139,HARv2_73	NA	NA	NA	NA
HACNS_833	NA	NA	NA	NA
HACNS_202	ENSG00000231093	NA	ENSG00000231093	NA
HACNS_862,HARv2_276	NA	NA	NA	NA
HARv2_139	NA	NA	NA	NA
HARv2_315	NA	NA	NA	NA
